a lot	a lot: adv. muito
taxi	 n táxi. • vt+vi 1 andar de táxi. 2 Aeron taxiar.
taxiway	 n Aeron local da pista para taxiar.
taxman	n coll coletor de impostos.
taxpayer	 n contribuinte (de impostos).
tea	 n chá: 1 Bot arbusto (Thea sinensis). 2 folhas secas desse arbusto. 3 infusão obtida das folhas de chá ou de outras plantas. 4 refeição ou recepção à tarde na qual se toma chá. what is there for tea? / o que há para o chá? afternoon tea/five o’clock tea chá das cinco horas. another cup of tea algo muito diferente. blend of tea mistura de chás. early tea chá da manhã. it’s not my cup of tea não é o meu forte, não é a minha especialidade. Mexican tea Bot erva-de-santa-maria. tea and sympathy coll hospitalidade, conforto para alguém em dificuldade. to blend tea misturar diversas qualidades de chá. to take/come (ou go to) tea tomar chá.
teacake	 n bolinho para o chá.
teach	vt+vi (ps, pp taught) 1 ensinar, mostrar, instruir. the boys were taught reading (to read) / os meninos aprenderam a ler. they were taught what to read / eles foram instruídos sobre o que deviam ler. can’t you teach him manners? / você não pode ensiná-lo a comportar-se? 2 lecionar. he teaches English / ele leciona inglês, ele dá aulas de inglês. 3 educar. 4 amestrar. experience teaches por experiência se aprende. you can’t teach an old dog new tricks macaco velho não aprende arte nova, burro velho não pega andadura. to teach someone better dar uma lição a alguém. they taught him better / eles lhe deram uma lição.
teacher	 n professor, professora. supply teacher professor eventual. 
teaching	n 1 magistério. 2 ensino, educação. 3 doutrina, preceito. • adj instrutivo.
team	 n 1 time, equipe, conjunto, quadro. 2 junta, parelha. • vt+vi 1 emparelhar, juntar em parelha, atrelar. 2 trabalhar com junta, guiar e transportar em carro puxado por junta. to team up with juntar forças com.
tear	 n 1 lágrima. 2 gota. a tear of blood uma gota de sangue. in tears em pranto, chorando. to burst into tears romper em lágrimas. to shed tears derramar lágrimas. to work the tear pump inundar de lágrimas. n 1 rasgo, rasgão. 2 rasgadura. 3 movimento rápido, corrida. 4 fúria, cólera. • vt+vi (ps tore, pp torn) 1 dilacerar, romper. 2 rasgar. she tore her dress / ela rasgou seu vestido. 3 arrancar. 4 ferir, cortar. 5 dividir, partir. 6 remover. 7 agitar. 8 correr. at full tear em disparada. to be torn between fear and love oscilar entre o medo e o amor. to tear about afobar-se, excitar-se. to tear apart a) separar com força. b) coll criticar destrutivamente. to tear down demolir violentamente. to tear in two rasgar pelo meio. to tear off a) tirar, arrancar. b) sair apressadamente, em disparada. to tear one’s hair arrancar os cabelos. to tear out puxar. to tear someone off a strip repreender alguém. to tear something from arrancar alguma coisa de. to tear to pieces rasgar em pedaços. to tear up arrancar (by the roots pela raiz). wear and tear desgaste.-off cal.en.dar [t326:f k´ælind2] n agenda com páginas descartáveis.
teasingly	 adv de modo importunador.
technical	 adj 1 técnico: relativo à técnica ou ciência aplicada. 2 com prática, com perícia.
technically	adv tecnicamente.
technician	 n 1 técnico. 2 prático, perito.
technological	adj = technologic.
tectonic	 adj tectônico.
teenager	 n adolescente: pessoa na idade entre 13 e 19 anos.
teenybopper	 n 1 garota adolescente. 2 adolescente que rejeita todo o estilo de vida de classe média.
teetotalism	 n abstinência.
telecommunication	 n telecomunicação.
telegenic	 adj TV telegênico: que fica bem representado na televisão. she is a telegenic girl / ela é uma garota telegênica.
telegraphese	 n linguagem telegráfica.
teleological	adj = teleologic.
teleology	 n teleologia: estudo da finalidade.
telephone	 n telefone. he is on the telephone / ele está ao telefone. • vt+vi telefonar. cellular telephone/pushbutton telephone telefone celular. cordless telephone telefone sem fio. on the telephone por telefone. over the telephone pelo telefone. press-button telephone telefone de teclas. telephone answering machine secretária eletrônica.to ring someone up on the telephone telefonar para alguém. to telephone someone a thing comunicar alguma coisa a alguém pelo telefone.
telephonic	 adj telefônico.
telephonist	 n Brit telefonista.
teleprinter	 n teletipo.
telescope	 n telescópio. • vt+vi encaixar(-se), engavetar(-se), telescopar(-se).
teletext	n teletexto.
television	<p>(abreviatura: TV) n televisão. pay TV/cable TV TV a cabo. subscription TV TV por assinatura.</p>
tell	vt+vi (ps, pp told) 1 dizer, contar, narrar. kindly tell me / por favor me diga. tell me the secret! / conte-me o segredo! don’t tell! / não diga nada! don’t tell me! / não me diga! 2 informar, tornar conhecido, relatar. 3 falar, mencionar. 4 manifestar-se. 5 comunicar, denunciar, revelar, divulgar. 6 mostrar, dar evidência. 7 saber, reconhecer, distinguir. can you tell one from the other? / é capaz de distinguir um do outro? you never can tell! / nunca se pode saber! 8 afirmar, declarar. 9 mandar, ordenar. 10 contar, enumerar. all told em suma. as far as one can tell até onde se pode saber. he was told that... foi dito a ele que... I’ll tell the world! a) pode estar certo! b) isso se pode admitir! I’ll tell you what! sl sabe o quê? I told you so eu te disse. it told well fez bom efeito. tell me another! sl conte-me outra!, mas é, hem! to be told off Mil ser destacado. to tell about a) relatar sobre, falar sobre. b) denunciar. to tell again repetir, tornar a dizer. to tell against someone falar contra alguém. to tell a tale of it saber bem o que é isso. to tell by /from reconhecer por, pelo. to tell by the ear julgar por ter ouvido. to tell fortunes ler a sorte. to tell off a) numerar e colocar à parte. b) repreender, advertir. to tell off (by fours) separar (de quatro em quatro). to tell on a) agir (de modo prejudicial) sobre. his troubles have told on him / as preocupações consumiram-no. b) coll trair, atraiçoar. to tell one’s beads rezar o terço. to tell over conferir (contagem). to tell someone a thing, someone of a thing ou a thing to someone assegurar alguma coisa a alguém. to tell someone to do mandar alguém fazer. to tell them apart distinguir um do outro. to tell the tale coll relatar o caso, contar uma história. to tell the time dizer as horas. you can’t tell him a thing ele não aceita conselhos. you’re telling me coll sei muito bem, tenho certeza disso.
telly	 n Brit, coll televisão.
temperature	 n 1 temperatura. 2 temperatura do corpo. 3 temperatura elevada, febre. rise in temperature elevação de temperatura. to have a temperature ter febre. to take the temperature medir a febre.
temple	 n 1 templo, igreja. 2 local devotado a um propósito especial. n Anat têmpora. n Weav tempereiro: ferro do tear que as tecedeiras prendem à ourela do pano.
temporarily	adv temporariamente, transitoriamente.
temporariness	 n temporalidade, temporaneidade.
temporary	 adj temporário, provisório, transitório. a temporary checkbook / um talão de cheques provisório.
temporization	n = temporisation.
temporizing	adj temporising.
tempt	vt tentar: 1 pôr à prova. 2 atrair, seduzir, induzir, persuadir. the occasion tempted me / a oportunidade me tentou. 3 provocar, desafiar. that is tempting fate / isso é provocar o destino. tempted to theft induzido para roubar.
ten	n 1 dez. 2 nota de dez dólares. • num dez. nine out of ten nove em dez, a maioria. one out of ten um em dez, pouquíssimos. ten times dez vezes. tens of thousands dezenas de milhares. ten to one dez para um, com toda a certeza. the upper ten a elite, a alta sociedade.
ten hundred	ten hundred: num. mil, ten hundred: num. milhar
tench	 n Ichth tenca, tinca: peixe de água doce.
tend	vt+vi 1 tender, inclinar-se, estar apto. 2 mover-se, dirigir-se, visar. to tend to be privileged ter preferência em geral. vt+vi tomar conta, cuidar, zelar.
tendency	 n 1 tendência, inclinação, propulsão. 2 direção, corrente, disposição. to have a tendency to ter uma tendência para.
tender	 n 1 proposta, oferta (também Com), oferecimento. 2 Jur prova. • vt 1 oferecer, ofertar (também Com). we tendered our thanks / exprimimos nossos agradecimentos. 2 oferecer em pagamento. 3 Jur provar. legal tender moeda corrente. to make a tender for fazer uma oferta para.   n 1 pessoa que atende ou cuida de outra. 2 Naut escaler, chalupa: navio pequeno para embarcar e desembarcar pessoas e cargas de navios grandes. 3 rail tênder. adj 1 tenro, macio, mole. 2 delicado, fraco. 3 carinhoso, afeiçoado, afável. 4 gentil, meigo. 5 sensível. 6 novo, jovem. 7 melindroso. 8 cuidadoso. to be tender of ter consideração por.
teniasis	 n Med teníase: infecção causada pela tênia.
tenner	 n Brit, coll nota de dez libras.
tennis	 n Sport tênis. lawn-tennis tênis. table tennis pingue-pongue, tênis de mesa.
tennist	 n tenista, jogador de tênis.
tension	 n 1 tensão. 2 força elástica. 3 tensão mental. 4 Mech tração, força de tração. 5 Electr tensão, voltagem. high tension Electr alta tensão.
term	 n 1 termo, palavra, expressão. 2 prazo, duração, limite. 3 semestre: período do ano escolar. 4 período de funcionamento do foro. 5 prazo, data de vencimento. 6 Math termo, componente de uma equação ou expressão. 7 terms condições, cláusulas, termos. our terms are cash / nossas condições são pagamento à vista. terms of delivery / condições de entrega. 8 terms maneira, modo de falar. 9 terms relações. 10 tempo que dura a gravidez normal. • vt chamar, designar, denominar. in plain / round terms francamente dito. in set terms em termos estabelecidos. in terms of praise com palavras elogiosas. in the long term a longo prazo. on easy terms com facilidades. on term a prazo. on / upon no terms de forma alguma. term of office período de função. terms of reference assuntos a decidir. the exact terms os termos exatos. to be on friendly terms with ter relações amigáveis com. to come to terms chegar a um acordo. to bring to terms forçar ou induzir a aceitar condições. to keep a term freqüentar regularmente o semestre escolar. under my terms de acordo com as minhas condições.
terminal	 n 1 final, parte final, extremidade. 2 terminal (estação de ônibus, trem ou aeroporto). 3 Electr borne, terminal. 4 Comp terminal. • adj 1 terminal, final. 2 relativo ao termo. 3 limitativo.
terrain	n Geol terreno, pedaço de terra, for­mação rochosa.
terrestrial	 adj terrestre: 1 terreno, térreo, terreal. 2 mundano.
terrible	 n coisa terrível. • adj 1 terrível, horrível, medonho. 2 severo, extremo. 3 desagradável, mau. in a terrible hurry com muita pressa.
terrine	 n 1 terrina: recipiente de barro. 2 Cook prato de carne ou peixe cozido em recipiente de barro.
territorial	 n soldado do exército territorial. • adj 1 territorial. 2 relativo ao estado ou distrito.
territoriality	n territorialidade.
territory	 n 1 terra, região. 2 território, domínio, colônia com governo independente. 3 Com praça. 4 campo, ramo de ciência.
terror	 n terror, pavor, medo, horror. reign of terror regime terrorista. the king of terrors a morte. to be a terror ser um terror (pessoa desagradável).
terrorism	 n terrorismo.
terrorist	 n terrorista.
test	 n 1 prova, exame, teste, determinação de presença, de qualidade. 2 critério, indício, demonstração. 3 análise, ensaio. 4 processo, método, reagente de ensaio. 5 pedra de toque. 6 teste (psicológico). 7 Chem capela, cadinho de capela. • vt 1 examinar, provar, pôr à prova, ensaiar, analisar. 2 Jur atestar, testificar um testamento ou outro documento. blood test exame de sangue. to give someone a test examinar alguém. to put someone to the test submeter alguém à prova. to stand the test ser aprovado. Zool n concha, carapaça de crustáceos.
testicular	 adj testicular.
tetanization	n = tetanisation.
tetchily	adv de mau humor, irritavelmente.
tetchiness	 n sensibilidade, irritabilidade.
tetchy	 adj rabugento, sensível, irritável, maçante.
text	 n 1 texto, matéria escrita. 2 texto original, as próprias palavras de um autor. 3 palavras bíblicas, trecho da Bíblia usado como tema para um sermão. 4 tópico, tema, assunto. stick to your text! / não fuja do assunto!
textile	 n 1 tecido, pano. 2 fibra têxtil, matéria para tecer. • adj 1 tecido. 2 adequado para tecer. 3 têxtil.
thai	Thai: adj. tailandês
thalidomide	 n Chem droga sedativa e hipnótica que pode causar malformação no bebê se for usada por mulheres grávidas.
thankfully	adv agradecidamente, reconhecidamente.
thanks to	thanks to: pr. graças a
that	demonstrative pron (pl those) esse, essa, isso, aquele, aquela, aquilo. how much are those apples? / quanto custam essas maçãs? who is that man? / quem é aquele homem? I prefer that book (those books) / prefiro esse livro (esses livros). what was that cry? / que grito foi esse? that is the girl I saw / essa é a moça que eu tinha visto. that’s all I wanted to know / isso é tudo que eu queria saber. you are responsible for that / você é responsável por isso. in that you are right / nisso você tem razão. I hoped it would come to that / esperava que chegasse a isso. • relative pron que, o que. the book that I gave you / o livro que lhe dei. the day that I met you / no dia em que o encontrei. • conj para que, que, a fim de que, de modo que. not that I have any objection / não que eu tenha alguma objeção. do you remember that she said so? / você se lembra de que ela falou assim? • adv tão, de tal modo, de tal maneira, assim. leave it at that! / deixe-o assim! I did not go that far / não cheguei a tal ponto. she is not that old / ela não é assim tão velha. and that was that! isso está liquidado! at that time naquele tempo. for all that apesar de tudo isso. for the very reason that pela própria razão que. in order that a fim de que. no one that nenhum que. now that agora que. that easily tão facilmente. that far tão longe. that is (abreviatura: i. e., Lat id est) isto é. that one (those ones) aquele (aqueles). this or that? esse ou aquele? so that’s that! portanto é isso aí!
